Date,Temp,Humidity_Pcnt,Radiation,Precip,Temp_Feels,Clouds_Pcnt,Wind,Year,Month,Day,Weekday
2009-05-01,65.4,85.9,86.0,0.3,65.2,92.3,11.5,2009,5,1,4
2009-05-02,64.1,82.8,152.5,0.2,64.4,97.8,4.9,2009,5,2,5
2009-05-03,56.3,95.3,23.9,0.9,55.0,100.0,6.0,2009,5,3,6
2009-05-04,52.8,96.7,21.1,0.8,50.0,100.0,8.6,2009,5,4,0
2009-05-05,55.2,90.2,132.8,0.1,54.5,99.4,4.2,2009,5,5,1
2009-05-06,59.5,89.8,180.2,0.2,58.9,85.8,6.9,2009,5,6,2
2009-05-07,66.6,90.0,213.2,0.7,67.9,76.9,8.5,2009,5,7,3
2009-05-08,66.8,79.5,192.5,0.0,67.5,72.6,6.5,2009,5,8,4
2009-05-09,73.0,72.5,237.0,0.0,74.6,81.9,12.0,2009,5,9,5
2009-05-10,62.4,58.5,317.7,0.0,61.6,28.8,11.2,2009,5,10,6
2009-05-11,55.1,77.7,125.3,0.1,53.5,94.9,6.8,2009,5,11,0
2009-05-12,54.7,74.7,333.7,0.0,53.6,7.8,5.5,2009,5,12,1
2009-05-13,58.2,63.1,285.2,0.0,57.2,45.5,8.0,2009,5,13,2
2009-05-14,65.4,82.0,152.8,1.2,65.8,82.6,12.8,2009,5,14,3
2009-05-15,69.9,90.2,228.4,0.6,71.4,72.0,5.1,2009,5,15,4
2009-05-16,70.8,90.1,162.4,0.5,72.7,86.3,9.2,2009,5,16,5
2009-05-17,58.6,70.7,155.7,0.1,56.7,94.0,10.5,2009,5,17,6
2009-05-18,53.3,49.2,205.4,0.0,50.8,93.5,8.6,2009,5,18,0
2009-05-19,54.0,64.2,351.0,0.0,53.2,6.9,3.8,2009,5,19,1
2009-05-20,58.6,64.2,347.4,0.0,58.5,16.0,5.6,2009,5,20,2
2009-05-21,63.0,71.4,348.5,0.0,63.3,15.6,6.3,2009,5,21,3
2009-05-22,69.8,76.7,205.3,0.0,70.9,87.5,6.1,2009,5,22,4
2009-05-23,73.3,72.2,308.2,0.0,74.9,53.4,8.5,2009,5,23,5
2009-05-24,72.6,78.2,213.5,0.0,74.4,75.2,8.6,2009,5,24,6
2009-05-25,71.8,92.1,196.0,1.2,74.1,97.0,3.8,2009,5,25,0
2009-05-26,61.5,93.2,90.9,0.3,59.9,99.7,11.2,2009,5,26,1
2009-05-27,64.9,87.8,215.0,0.0,65.6,78.5,4.7,2009,5,27,2
2009-05-28,69.7,88.4,221.6,0.2,71.3,84.2,6.4,2009,5,28,3
2009-05-29,70.1,89.3,185.0,0.5,71.6,90.6,4.9,2009,5,29,4
2009-05-30,65.7,71.0,329.7,0.0,66.4,11.1,5.5,2009,5,30,5
2009-05-31,67.1,67.2,308.2,0.0,67.8,23.1,5.7,2009,5,31,6
2009-06-01,64.1,61.9,337.8,0.0,64.7,15.4,7.3,2009,6,1,0
2009-06-02,75.0,71.8,267.5,0.0,77.4,48.1,5.6,2009,6,2,1
2009-06-03,71.5,78.7,183.5,0.9,73.3,70.4,5.4,2009,6,3,2
2009-06-04,59.4,94.9,68.2,0.4,58.5,98.6,7.3,2009,6,4,3
2009-06-05,59.3,97.4,22.3,1.4,57.9,100.0,8.8,2009,6,5,4
2009-06-06,65.1,86.2,209.8,0.0,66.0,57.8,4.2,2009,6,6,5
2009-06-07,69.3,81.4,306.8,0.0,70.6,36.9,6.1,2009,6,7,6
2009-06-08,74.5,82.4,257.2,0.0,77.6,60.5,5.3,2009,6,8,0
2009-06-09,74.5,85.4,213.0,0.4,77.7,85.7,4.9,2009,6,9,1
2009-06-10,71.5,84.8,215.8,0.1,73.3,77.4,4.2,2009,6,10,2
2009-06-11,71.7,95.1,153.5,0.6,74.5,93.3,6.8,2009,6,11,3
2009-06-12,74.0,87.7,317.2,0.2,77.4,25.4,5.9,2009,6,12,4
2009-06-13,72.4,90.9,240.1,0.6,74.8,32.1,3.4,2009,6,13,5
2009-06-14,70.2,77.8,310.5,0.1,71.2,59.3,5.5,2009,6,14,6
2009-06-15,69.8,81.3,275.9,0.0,71.2,43.0,5.2,2009,6,15,0
2009-06-16,68.4,83.3,249.4,0.0,69.5,84.5,8.9,2009,6,16,1
2009-06-17,62.9,91.9,43.9,0.4,61.9,98.4,10.5,2009,6,17,2
2009-06-18,71.5,91.8,169.3,0.9,73.8,77.5,8.0,2009,6,18,3
2009-06-19,71.8,78.4,250.4,0.0,73.3,61.8,4.7,2009,6,19,4
2009-06-20,76.2,80.2,252.0,0.3,80.4,51.3,6.1,2009,6,20,5
2009-06-21,71.8,75.4,192.9,0.0,74.9,54.4,11.3,2009,6,21,6
2009-06-22,72.5,81.5,271.8,0.3,75.0,35.2,8.6,2009,6,22,0
2009-06-23,72.2,81.6,229.1,0.0,73.7,60.0,4.3,2009,6,23,1
2009-06-24,74.3,69.5,330.7,0.0,76.7,13.2,6.0,2009,6,24,2
2009-06-25,76.8,63.3,232.3,0.0,79.2,60.5,4.5,2009,6,25,3
2009-06-26,77.5,73.0,228.1,0.0,80.8,62.8,4.8,2009,6,26,4
2009-06-27,73.6,73.7,336.5,0.0,75.6,15.7,6.4,2009,6,27,5
2009-06-28,70.1,75.5,144.5,0.0,71.6,83.1,4.6,2009,6,28,6
2009-06-29,73.0,65.2,266.1,0.0,74.1,46.5,6.0,2009,6,29,0
2009-06-30,71.8,72.3,120.9,0.0,73.9,54.9,4.2,2009,6,30,1
2009-07-01,73.7,74.7,308.0,0.1,75.3,43.9,2.8,2009,7,1,2
2009-07-02,70.3,79.3,263.2,0.0,72.0,36.2,6.9,2009,7,2,3
2009-07-03,68.2,75.9,216.6,0.0,69.4,30.2,7.3,2009,7,3,4
2009-07-04,71.4,69.8,234.8,0.0,73.3,52.0,7.1,2009,7,4,5
2009-07-05,67.2,68.2,211.2,0.0,68.2,76.8,5.5,2009,7,5,6
2009-07-06,71.4,66.7,340.0,0.0,72.2,15.8,4.4,2009,7,6,0
2009-07-07,74.3,61.6,235.5,0.0,75.7,46.7,5.8,2009,7,7,1
2009-07-08,69.9,57.8,323.8,0.0,70.8,26.0,6.2,2009,7,8,2
2009-07-09,69.2,69.5,233.0,0.0,70.5,57.5,4.8,2009,7,9,3
2009-07-10,69.8,73.3,298.2,0.0,70.8,22.6,4.9,2009,7,10,4
2009-07-11,72.1,80.8,166.5,0.1,74.3,74.1,8.5,2009,7,11,5
2009-07-12,76.7,70.4,270.3,0.1,79.4,50.0,6.2,2009,7,12,6
2009-07-13,74.7,61.5,244.7,0.0,76.5,59.5,3.5,2009,7,13,0
2009-07-14,71.0,44.4,336.6,0.0,71.5,13.7,4.8,2009,7,14,1
2009-07-15,74.1,52.3,325.0,0.0,75.1,35.5,6.8,2009,7,15,2
2009-07-16,81.0,59.3,286.8,0.0,83.9,48.8,6.8,2009,7,16,3
2009-07-17,75.7,71.2,117.7,0.1,78.2,82.9,4.5,2009,7,17,4
2009-07-18,72.8,62.0,275.2,0.0,74.1,63.6,7.3,2009,7,18,5
2009-07-19,72.4,60.0,193.5,0.0,73.9,79.7,3.4,2009,7,19,6
2009-07-20,72.8,66.3,179.9,0.0,74.0,98.7,5.2,2009,7,20,0
2009-07-21,72.8,78.6,269.5,0.3,75.4,52.7,4.5,2009,7,21,1
2009-07-22,75.5,73.6,194.1,0.0,77.8,60.6,5.2,2009,7,22,2
2009-07-23,74.7,85.3,199.2,0.5,77.8,80.2,4.2,2009,7,23,3
2009-07-24,74.8,76.1,299.5,0.1,76.9,43.8,3.6,2009,7,24,4
2009-07-25,78.3,62.7,274.8,0.0,79.9,33.2,6.3,2009,7,25,5
2009-07-26,79.2,64.9,185.4,0.0,82.7,61.0,6.2,2009,7,26,6
2009-07-27,78.1,64.2,279.5,0.0,81.2,57.5,5.2,2009,7,27,0
2009-07-28,78.7,69.4,187.2,0.0,82.2,77.7,4.7,2009,7,28,1
2009-07-29,78.4,79.0,171.6,0.2,82.7,73.3,9.8,2009,7,29,2
2009-07-30,78.6,74.1,251.0,0.1,82.0,41.8,6.3,2009,7,30,3
2009-07-31,77.1,86.2,170.5,0.4,82.0,90.5,8.1,2009,7,31,4
2009-08-01,77.1,76.6,269.0,0.1,80.1,47.2,4.5,2009,8,1,5
2009-08-02,75.8,92.3,154.3,0.4,80.9,88.2,6.0,2009,8,2,6
2009-08-03,76.3,72.6,290.7,0.0,79.0,10.8,3.9,2009,8,3,0
2009-08-04,79.0,64.7,310.2,0.0,81.2,0.4,5.0,2009,8,4,1
2009-08-05,77.4,65.7,214.2,0.0,80.6,68.1,5.8,2009,8,5,2
2009-08-06,69.8,82.0,125.2,0.3,70.9,78.9,5.3,2009,8,6,3
2009-08-07,71.0,60.0,282.2,0.0,71.6,41.7,4.1,2009,8,7,4
2009-08-08,76.1,62.2,228.1,0.0,77.9,76.5,4.3,2009,8,8,5
2009-08-09,81.6,62.5,236.4,0.0,85.1,48.1,5.4,2009,8,9,6
2009-08-10,84.5,58.7,278.9,0.0,89.1,31.2,7.0,2009,8,10,0
2009-08-11,82.4,67.2,261.8,0.0,87.1,63.1,5.2,2009,8,11,1
2009-08-12,76.3,82.0,104.0,0.1,80.5,95.1,3.7,2009,8,12,2
2009-08-13,76.0,79.5,198.9,0.0,79.6,75.4,5.1,2009,8,13,3
2009-08-14,75.5,77.9,278.6,0.0,77.8,15.3,4.8,2009,8,14,4
2009-08-15,76.3,72.0,291.6,0.0,78.2,3.1,4.0,2009,8,15,5
2009-08-16,78.9,61.5,293.2,0.0,80.3,13.1,3.7,2009,8,16,6
2009-08-17,80.8,54.7,186.8,0.0,83.0,87.6,5.4,2009,8,17,0
2009-08-18,81.9,63.9,243.3,0.1,86.5,36.0,4.1,2009,8,18,1
2009-08-19,81.0,73.4,238.0,0.3,86.4,62.5,4.1,2009,8,19,2
2009-08-20,82.1,72.8,220.5,0.1,87.6,51.9,7.1,2009,8,20,3
2009-08-21,81.6,71.8,243.4,0.1,86.6,44.9,7.2,2009,8,21,4
2009-08-22,74.5,94.9,57.2,0.4,79.4,79.0,3.5,2009,8,22,5
2009-08-23,76.0,76.4,273.2,0.0,79.1,34.6,4.8,2009,8,23,6
2009-08-24,73.7,72.4,218.1,0.0,75.5,34.7,5.8,2009,8,24,0
2009-08-25,75.2,65.7,279.3,0.0,77.2,0.2,3.8,2009,8,25,1
2009-08-26,78.9,64.7,265.1,0.0,81.8,19.8,5.8,2009,8,26,2
2009-08-27,78.4,70.2,226.5,0.0,81.8,53.6,4.9,2009,8,27,3
2009-08-28,75.8,91.0,134.0,0.7,80.7,94.2,4.1,2009,8,28,4
2009-08-29,76.6,85.3,175.1,0.2,81.3,68.4,4.0,2009,8,29,5
2009-08-30,74.2,61.7,265.3,0.0,75.9,51.0,6.2,2009,8,30,6
2009-08-31,66.2,64.5,174.3,0.0,67.0,68.9,6.9,2009,8,31,0
2009-09-01,63.6,66.3,272.2,0.0,64.2,3.4,6.7,2009,9,1,1
2009-09-02,64.1,70.8,270.7,0.0,65.1,17.0,5.2,2009,9,2,2
2009-09-03,65.8,69.9,257.3,0.0,66.5,35.4,6.0,2009,9,3,3
2009-09-04,68.1,61.8,240.3,0.0,68.6,29.4,5.5,2009,9,4,4
2009-09-05,70.9,63.1,236.5,0.0,71.6,24.0,3.7,2009,9,5,5
2009-09-06,71.0,70.7,239.9,0.0,72.2,54.1,7.5,2009,9,6,6
2009-09-07,69.3,83.9,122.8,0.0,70.5,92.1,8.0,2009,9,7,0
2009-09-08,69.1,77.4,167.6,0.0,70.1,79.0,7.1,2009,9,8,1
2009-09-09,69.3,75.6,148.3,0.0,70.6,64.8,7.3,2009,9,9,2
2009-09-10,64.7,76.2,121.0,0.2,64.6,96.1,11.5,2009,9,10,3
2009-09-11,59.7,91.8,60.2,0.5,57.7,88.1,12.2,2009,9,11,4
2009-09-12,63.7,87.3,86.2,0.0,63.3,87.6,8.0,2009,9,12,5
2009-09-13,67.7,77.3,142.1,0.0,68.2,40.1,6.5,2009,9,13,6
2009-09-14,69.9,73.1,241.7,0.0,70.8,5.5,4.5,2009,9,14,0
2009-09-15,73.1,70.7,220.2,0.1,74.7,41.9,5.2,2009,9,15,1
2009-09-16,67.5,88.9,137.9,0.2,68.2,82.6,7.9,2009,9,16,2
2009-09-17,63.2,87.3,50.5,0.0,63.0,94.5,6.8,2009,9,17,3
2009-09-18,66.7,86.8,89.6,0.0,67.3,84.4,4.4,2009,9,18,4
2009-09-19,62.9,66.8,208.7,0.0,63.0,17.7,6.3,2009,9,19,5
2009-09-20,59.5,72.3,210.5,0.0,60.1,52.2,4.6,2009,9,20,6
2009-09-21,66.1,79.7,173.0,0.0,67.1,74.9,5.6,2009,9,21,0
2009-09-22,69.9,86.3,83.6,0.0,71.6,87.5,5.1,2009,9,22,1
2009-09-23,74.1,80.2,153.3,0.0,76.6,59.2,5.2,2009,9,23,2
2009-09-24,75.4,76.6,188.0,0.0,78.9,67.5,5.5,2009,9,24,3
2009-09-25,66.4,71.6,109.0,0.2,67.4,95.0,7.5,2009,9,25,4
2009-09-26,62.3,74.4,97.4,0.9,61.6,97.1,8.8,2009,9,26,5
2009-09-27,65.2,86.0,109.1,0.8,65.7,58.8,7.1,2009,9,27,6
2009-09-28,63.7,75.7,135.6,0.1,63.6,26.3,10.5,2009,9,28,0
2009-09-29,59.9,61.2,212.9,0.0,58.4,6.2,10.5,2009,9,29,1
2009-09-30,58.6,74.7,103.3,0.0,57.2,84.5,8.6,2009,9,30,2
2009-10-01,54.6,72.3,94.2,0.0,53.5,61.4,5.2,2009,10,1,3
2009-10-02,64.0,73.1,130.6,0.0,64.4,90.5,9.8,2009,10,2,4
2009-10-03,66.1,71.2,187.4,0.0,67.0,19.0,5.7,2009,10,3,5
2009-10-04,60.6,54.5,205.3,0.0,60.2,21.6,7.3,2009,10,4,6
2009-10-05,57.4,61.8,201.9,0.0,56.4,14.9,5.9,2009,10,5,0
2009-10-06,62.1,70.9,150.6,0.0,61.9,68.6,8.4,2009,10,6,1
2009-10-07,62.6,66.0,154.2,0.1,61.0,48.4,14.9,2009,10,7,2
2009-10-08,58.3,60.2,159.8,0.0,56.9,23.3,7.1,2009,10,8,3
2009-10-09,71.2,60.5,182.1,0.0,72.0,16.6,14.3,2009,10,9,4
2009-10-10,63.3,71.3,60.6,0.1,62.9,80.7,10.3,2009,10,10,5
2009-10-11,55.0,68.7,184.7,0.0,53.9,32.6,4.2,2009,10,11,6
2009-10-12,51.3,67.3,88.5,0.0,49.3,81.5,6.1,2009,10,12,0
2009-10-13,56.0,73.2,94.0,0.0,54.2,65.8,9.3,2009,10,13,1
2009-10-14,46.9,72.2,70.5,0.1,44.3,97.5,5.9,2009,10,14,2
2009-10-15,45.2,94.5,10.5,1.2,40.0,100.0,10.8,2009,10,15,3
2009-10-16,41.4,94.5,17.3,0.6,35.2,100.0,10.4,2009,10,16,4
2009-10-17,41.8,96.2,10.4,1.8,35.0,100.0,12.8,2009,10,17,5
2009-10-18,44.0,85.4,63.0,0.7,37.6,94.2,13.1,2009,10,18,6
2009-10-19,44.7,65.6,178.1,0.0,41.0,3.8,7.0,2009,10,19,0
2009-10-20,52.8,64.5,154.3,0.0,51.3,23.0,5.2,2009,10,20,1
2009-10-21,58.4,67.8,167.2,0.0,58.5,13.8,4.4,2009,10,21,2
2009-10-22,61.4,62.8,108.3,0.0,61.0,76.4,7.2,2009,10,22,3
2009-10-23,61.2,79.5,59.1,0.2,60.7,95.0,8.9,2009,10,23,4
2009-10-24,65.0,90.9,9.9,0.8,63.8,97.1,15.4,2009,10,24,5
2009-10-25,52.2,73.1,114.1,0.0,49.6,76.0,8.3,2009,10,25,6
2009-10-26,52.7,79.1,94.3,0.0,50.8,88.5,6.6,2009,10,26,0
2009-10-27,55.5,94.5,28.3,0.7,53.8,99.8,7.3,2009,10,27,1
2009-10-28,61.2,85.3,105.0,1.3,60.4,84.2,9.0,2009,10,28,2
2009-10-29,55.9,88.7,27.0,0.0,54.7,99.1,6.3,2009,10,29,3
2009-10-30,55.0,87.9,58.0,0.0,53.1,96.9,7.7,2009,10,30,4
2009-10-31,61.9,93.7,23.2,0.3,60.3,98.8,12.2,2009,10,31,5
2009-11-01,50.6,90.1,13.9,1.3,47.3,99.8,8.3,2009,11,1,6
2009-11-02,50.4,89.8,53.2,0.0,48.0,90.3,6.5,2009,11,2,0
2009-11-03,50.7,76.8,140.3,0.0,48.2,9.4,7.6,2009,11,3,1
2009-11-04,45.9,68.6,124.7,0.0,43.7,47.1,4.5,2009,11,4,2
2009-11-05,45.7,72.1,106.8,0.0,42.1,32.1,7.2,2009,11,5,3
2009-11-06,41.5,64.6,141.8,0.0,36.9,6.3,8.0,2009,11,6,4
2009-11-07,45.9,68.2,122.6,0.0,41.5,12.3,9.7,2009,11,7,5
2009-11-08,55.1,79.1,101.9,0.0,54.2,19.7,4.4,2009,11,8,6
2009-11-09,56.5,80.5,105.5,0.0,56.1,57.3,4.9,2009,11,9,0
2009-11-10,58.0,82.3,56.9,0.0,57.4,98.8,5.2,2009,11,10,1
2009-11-11,49.0,90.6,15.9,1.5,43.0,100.0,16.5,2009,11,11,2
2009-11-12,45.4,93.3,9.6,2.4,37.1,100.0,22.5,2009,11,12,3
2009-11-13,50.5,92.8,12.4,0.6,44.3,100.0,19.6,2009,11,13,4
2009-11-14,54.4,93.5,22.2,0.0,51.7,99.4,9.6,2009,11,14,5
2009-11-15,59.4,86.7,97.5,0.0,58.3,52.0,7.2,2009,11,15,6
2009-11-16,56.6,87.0,54.1,0.0,54.6,61.3,8.3,2009,11,16,0
2009-11-17,48.3,79.2,69.7,0.0,44.9,57.3,7.8,2009,11,17,1
2009-11-18,50.6,89.3,47.5,0.0,47.0,75.2,9.5,2009,11,18,2
2009-11-19,56.5,94.8,24.8,0.2,54.3,95.8,9.3,2009,11,19,3
2009-11-20,52.4,80.2,87.6,0.1,49.5,78.5,9.2,2009,11,20,4
2009-11-21,50.6,80.7,30.8,0.0,48.6,96.2,5.7,2009,11,21,5
2009-11-22,48.3,89.3,22.8,0.0,44.7,87.0,8.1,2009,11,22,6
2009-11-23,48.3,93.5,11.8,0.6,43.7,99.8,11.0,2009,11,23,0
2009-11-24,48.7,96.3,10.8,0.4,45.8,99.4,6.9,2009,11,24,1
2009-11-25,50.0,97.4,16.0,0.2,49.3,96.5,3.3,2009,11,25,2
2009-11-26,48.9,95.2,22.8,0.2,48.0,99.4,3.5,2009,11,26,3
2009-11-27,41.4,77.8,78.2,0.2,33.0,73.3,17.5,2009,11,27,4
2009-11-28,41.0,74.8,78.0,0.0,34.5,34.6,12.2,2009,11,28,5
2009-11-29,49.3,75.4,110.5,0.0,46.2,20.8,9.0,2009,11,29,6
2009-11-30,49.1,84.5,26.6,0.4,44.2,88.2,12.2,2009,11,30,0
2009-12-01,42.4,78.3,108.8,0.0,37.4,25.5,8.1,2009,12,1,1
2009-12-02,48.9,88.3,22.1,0.6,45.0,99.0,11.9,2009,12,2,2
2009-12-03,53.8,82.5,68.2,0.1,50.0,68.7,13.3,2009,12,3,3
2009-12-04,45.1,78.8,40.2,0.0,43.1,72.9,4.3,2009,12,4,4
2009-12-05,37.5,92.6,8.6,0.7,29.5,98.4,12.7,2009,12,5,5
2009-12-06,32.0,72.0,101.2,0.0,25.8,46.3,7.9,2009,12,6,6
2009-12-07,35.2,72.9,80.8,0.0,30.0,64.1,6.6,2009,12,7,0
2009-12-08,38.0,76.8,80.5,0.4,32.9,75.4,7.2,2009,12,8,1
2009-12-09,46.8,91.1,59.6,1.4,40.6,74.3,15.3,2009,12,9,2
2009-12-10,35.7,67.4,102.5,0.0,27.0,25.3,13.3,2009,12,10,3
2009-12-11,29.6,38.7,104.2,0.0,19.6,1.8,12.8,2009,12,11,4
2009-12-12,32.9,41.0,104.1,0.0,26.8,32.1,6.9,2009,12,12,5
2009-12-13,37.7,89.1,4.7,1.7,32.2,81.4,7.7,2009,12,13,6
2009-12-14,43.6,94.5,19.9,0.0,39.8,94.8,7.6,2009,12,14,0
2009-12-15,45.6,89.6,34.2,0.0,40.6,98.0,10.5,2009,12,15,1
2009-12-16,32.3,70.0,102.0,0.0,22.6,10.6,13.7,2009,12,16,2
2009-12-17,29.7,59.9,101.8,0.0,21.1,5.8,10.4,2009,12,17,3
2009-12-18,29.9,68.7,59.9,0.2,24.2,84.8,5.9,2009,12,18,4
2009-12-19,26.7,93.2,6.9,2.2,13.4,100.0,19.2,2009,12,19,5
2009-12-20,29.7,67.4,89.9,0.0,18.3,40.1,15.7,2009,12,20,6
2009-12-21,31.8,70.5,88.8,0.0,22.9,29.2,11.2,2009,12,21,0
2009-12-22,32.8,75.6,85.5,0.0,25.4,27.6,8.7,2009,12,22,1
2009-12-23,30.6,68.3,101.3,0.0,23.0,1.7,8.3,2009,12,23,2
2009-12-24,29.6,77.2,77.0,0.0,22.7,38.9,7.0,2009,12,24,3
2009-12-25,39.7,94.9,13.7,0.5,33.0,97.4,13.3,2009,12,25,4
2009-12-26,49.0,95.8,7.1,0.6,44.7,100.0,11.5,2009,12,26,5
2009-12-27,40.6,79.9,101.6,0.0,35.6,21.8,7.5,2009,12,27,6
2009-12-28,33.1,69.2,101.3,0.0,23.3,23.1,14.2,2009,12,28,0
2009-12-29,27.9,58.1,76.5,0.0,16.0,56.1,16.8,2009,12,29,1
2009-12-30,27.4,54.4,59.6,0.0,20.9,68.2,6.2,2009,12,30,2
2009-12-31,33.4,86.3,54.9,0.5,30.6,93.6,3.6,2009,12,31,3
2010-01-01,33.1,85.0,69.1,0.0,25.4,65.9,10.6,2010,1,1,4
2010-01-02,23.9,55.9,76.1,0.0,8.5,54.6,22.8,2010,1,2,5
2010-01-03,19.9,52.4,95.7,0.0,2.6,50.8,24.4,2010,1,3,6
2010-01-04,25.7,59.8,70.5,0.0,12.8,79.3,16.8,2010,1,4,0
2010-01-05,28.1,60.4,64.2,0.0,16.7,76.3,14.9,2010,1,5,1
2010-01-06,29.7,64.4,60.0,0.0,18.1,66.0,17.1,2010,1,6,2
2010-01-07,30.1,65.0,77.2,0.0,22.6,59.3,8.9,2010,1,7,3
2010-01-08,27.0,63.2,72.7,0.0,15.9,58.8,14.8,2010,1,8,4
2010-01-09,26.6,63.8,79.5,0.0,14.9,42.7,14.7,2010,1,9,5
2010-01-10,22.8,54.7,111.0,0.0,11.1,0.1,12.7,2010,1,10,6
2010-01-11,26.0,47.7,84.8,0.0,20.0,45.1,5.5,2010,1,11,0
2010-01-12,28.5,63.2,109.4,0.0,18.1,28.9,12.9,2010,1,12,1
2010-01-13,30.2,64.5,95.4,0.0,23.8,16.7,7.0,2010,1,13,2
2010-01-14,33.9,68.3,110.5,0.0,30.1,23.6,4.3,2010,1,14,3
2010-01-15,39.1,75.6,81.3,0.0,34.7,49.5,6.4,2010,1,15,4
2010-01-16,39.8,92.5,42.3,0.0,37.2,90.1,4.2,2010,1,16,5
2010-01-17,40.3,96.8,4.0,1.1,34.7,99.8,9.5,2010,1,17,6
2010-01-18,41.6,89.9,110.1,0.0,36.5,36.7,9.9,2010,1,18,0
2010-01-19,43.7,87.8,103.0,0.0,41.7,56.8,4.6,2010,1,19,1
2010-01-20,37.2,74.9,81.7,0.0,31.4,75.4,7.7,2010,1,20,2
2010-01-21,34.7,77.4,69.0,0.1,28.4,79.5,7.8,2010,1,21,3
2010-01-22,36.0,86.6,35.6,0.2,29.2,94.9,9.6,2010,1,22,4
2010-01-23,35.1,82.9,120.3,0.0,29.7,40.6,6.6,2010,1,23,5
2010-01-24,42.4,95.6,17.4,0.2,37.3,98.2,11.1,2010,1,24,6
2010-01-25,54.0,89.5,37.6,1.0,50.0,77.5,18.3,2010,1,25,0
2010-01-26,38.0,73.8,79.5,0.0,30.8,64.7,11.0,2010,1,26,1
2010-01-27,34.1,63.8,116.3,0.0,28.4,24.1,6.8,2010,1,27,2
2010-01-28,35.5,62.7,89.9,0.0,27.3,64.3,13.5,2010,1,28,3
2010-01-29,22.6,43.2,74.2,0.0,11.0,90.6,12.0,2010,1,29,4
2010-01-30,19.3,74.8,20.2,0.5,7.0,99.7,11.8,2010,1,30,5
2010-01-31,23.3,43.4,136.5,0.0,13.8,26.7,9.2,2010,1,31,6
2010-02-01,28.6,51.5,133.4,0.0,22.4,17.1,6.3,2010,2,1,0
2010-02-02,32.6,74.1,78.3,0.3,27.7,88.6,5.3,2010,2,2,1
2010-02-03,34.4,83.2,105.4,0.1,27.7,69.7,8.8,2010,2,3,2
2010-02-04,32.6,70.6,106.9,0.0,27.3,65.3,6.0,2010,2,4,3
2010-02-05,32.6,82.3,31.3,1.5,26.7,99.5,8.4,2010,2,5,4
2010-02-06,27.5,90.4,22.3,1.8,14.3,84.7,19.9,2010,2,6,5
2010-02-07,25.5,63.0,140.9,0.0,14.7,7.8,12.3,2010,2,7,6
